block_day,Open,High,Low,close_price
07/19/2023,"1,894.84","1,918.47","1,893.31","1,899.00"
07/18/2023,"1,890.35","1,919.69","1,880.27","1,894.84"
07/17/2023,"1,929.02","1,937.62","1,875.01","1,890.35"
07/16/2023,"1,931.84","1,943.05","1,916.35","1,928.67"
07/15/2023,"1,915.45","1,946.92","1,915.45","1,932.03"
07/14/2023,"1,983.80","2,027.41","1,900.63","1,916.38"
07/13/2023,"1,872.00","2,011.88","1,864.56","1,984.00"
07/12/2023,"1,874.62","1,901.01","1,867.58","1,871.99"
07/11/2023,"1,891.95","1,892.76","1,862.67","1,874.76"
07/10/2023,"1,869.18","1,904.53","1,848.85","1,891.95"
07/09/2023,"1,848.83","1,878.90","1,846.72","1,869.41"
07/08/2023,"1,865.99","1,871.82","1,844.22","1,848.98"
07/07/2023,"1,883.21","1,886.37","1,827.29","1,865.67"
07/06/2023,"1,910.07","1,955.37","1,866.79","1,883.21"
07/05/2023,"1,941.91","1,942.07","1,894.77","1,910.07"
07/04/2023,"1,958.04","1,965.93","1,931.79","1,941.90"
07/03/2023,"1,918.46","1,974.98","1,915.37","1,959.62"
07/02/2023,"1,923.46","1,927.35","1,893.76","1,918.45"
07/01/2023,"1,927.83","1,944.09","1,909.52","1,923.46"
06/30/2023,"1,849.91","1,945.61","1,826.44","1,927.83"
06/29/2023,"1,831.27","1,877.99","1,826.44","1,849.91"
06/28/2023,"1,891.64","1,897.41","1,823.99","1,831.27"
06/27/2023,"1,851.12","1,911.56","1,846.81","1,891.64"
06/26/2023,"1,893.59","1,906.41","1,840.81","1,852.34"
06/25/2023,"1,877.52","1,929.19","1,866.11","1,893.40"
06/24/2023,"1,907.06","1,907.06","1,868.22","1,876.83"
06/23/2023,"1,888.03","1,933.00","1,866.43","1,907.34"
06/22/2023,"1,879.14","1,929.47","1,867.39","1,888.03"
06/21/2023,"1,784.81","1,897.20","1,775.52","1,877.35"
06/20/2023,"1,731.73","1,789.46","1,715.00","1,787.30"
06/19/2023,"1,729.88","1,746.71","1,704.83","1,730.08"
06/18/2023,"1,728.19","1,747.69","1,720.10","1,729.94"
06/17/2023,"1,725.65","1,759.90","1,713.80","1,728.16"
06/16/2023,"1,668.99","1,726.00","1,651.31","1,725.64"
06/15/2023,"1,635.72","1,670.20","1,623.44","1,668.06"
06/14/2023,"1,737.58","1,749.72","1,635.44","1,639.49"
06/13/2023,"1,738.81","1,765.89","1,726.12","1,737.99"
06/12/2023,"1,770.53","1,771.60","1,722.16","1,739.10"
06/11/2023,"1,743.97","1,775.77","1,740.29","1,770.55"
06/10/2023,"1,836.08","1,844.40","1,719.63","1,744.18"
06/09/2023,"1,853.42","1,854.61","1,828.33","1,835.97"
06/08/2023,"1,841.54","1,861.27","1,821.42","1,853.42"
06/07/2023,"1,876.99","1,894.95","1,833.42","1,841.52"
06/06/2023,"1,804.97","1,896.00","1,796.90","1,876.99"
06/05/2023,"1,903.70","1,911.87","1,783.90","1,804.84"
06/04/2023,"1,888.01","1,910.92","1,884.92","1,904.47"
06/03/2023,"1,905.30","1,909.90","1,885.21","1,888.02"
06/02/2023,"1,869.22","1,910.28","1,851.85","1,905.58"
06/01/2023,"1,865.89","1,888.20","1,842.92","1,869.00"
05/31/2023,"1,904.12","1,913.71","1,848.89","1,865.88"
05/30/2023,"1,892.86","1,916.32","1,883.13","1,904.12"
05/29/2023,"1,854.70","1,926.74","1,854.69","1,893.48"
05/28/2023,"1,828.04","1,860.12","1,825.21","1,854.69"
05/27/2023,"1,835.35","1,836.33","1,818.00","1,827.72"
05/26/2023,"1,810.00","1,838.20","1,797.75","1,835.42"
05/25/2023,"1,804.27","1,815.67","1,763.42","1,809.86"
05/24/2023,"1,854.85","1,856.40","1,778.31","1,804.97"
05/23/2023,"1,818.29","1,870.02","1,815.35","1,854.86"
05/22/2023,"1,806.09","1,826.47","1,791.93","1,818.16"
05/21/2023,"1,817.13","1,828.54","1,803.26","1,806.42"
05/20/2023,"1,812.42","1,829.00","1,807.64","1,817.13"
05/19/2023,"1,796.78","1,828.83","1,796.50","1,812.70"
05/18/2023,"1,826.20","1,831.73","1,773.78","1,796.79"
05/17/2023,"1,821.43","1,835.92","1,786.40","1,826.20"
05/16/2023,"1,826.27","1,831.00","1,796.99","1,821.41"
05/15/2023,"1,799.10","1,846.06","1,786.36","1,826.27"
05/14/2023,"1,804.25","1,823.86","1,790.98","1,799.10"
05/13/2023,"1,788.28","1,816.45","1,788.28","1,804.40"
05/12/2023,"1,796.09","1,800.45","1,741.08","1,788.28"
05/11/2023,"1,858.74","1,858.74","1,774.20","1,796.09"
05/10/2023,"1,848.64","1,888.97","1,792.57","1,858.80"
05/09/2023,"1,841.66","1,862.60","1,832.54","1,848.64"
05/08/2023,"1,913.16","1,923.66","1,813.10","1,840.91"
05/07/2023,"1,898.07","1,934.98","1,888.48","1,913.16"
05/06/2023,"1,990.71","2,018.49","1,868.65","1,898.07"
05/05/2023,"1,878.01","2,000.00","1,871.34","1,990.86"
05/04/2023,"1,874.03","1,917.00","1,868.26","1,878.06"
05/03/2023,"1,870.34","1,892.98","1,845.09","1,874.03"
05/02/2023,"1,808.25","1,880.85","1,808.25","1,870.08"
05/01/2023,"1,892.94","1,897.67","1,808.52","1,809.79"
04/30/2023,"1,904.53","1,938.70","1,881.39","1,892.35"
04/29/2023,"1,895.84","1,916.94","1,887.52","1,904.53"
04/28/2023,"1,919.62","1,925.00","1,875.22","1,895.84"
04/27/2023,"1,866.50","1,937.41","1,849.73","1,919.58"
04/26/2023,"1,863.29","1,963.93","1,790.00","1,865.73"
04/25/2023,"1,839.26","1,864.16","1,804.76","1,860.78"
04/24/2023,"1,848.21","1,888.24","1,810.19","1,837.70"
04/23/2023,"1,869.12","1,882.00","1,839.41","1,848.21"
04/22/2023,"1,834.35","1,887.36","1,834.35","1,868.86"
04/21/2023,"1,938.10","1,956.74","1,830.00","1,838.38"
04/20/2023,"1,980.49","1,981.65","1,917.36","1,938.10"
04/19/2023,"2,093.67","2,107.05","1,967.10","1,981.65"
04/18/2023,"2,078.22","2,123.06","2,056.85","2,092.83"
04/17/2023,"2,122.60","2,130.63","2,062.06","2,078.22"
04/16/2023,"2,088.63","2,137.82","2,076.00","2,122.92"
04/15/2023,"2,107.28","2,112.96","2,074.50","2,089.25"
04/14/2023,"2,007.63","2,130.00","2,006.22","2,107.57"
04/13/2023,"1,908.51","2,022.00","1,902.00","2,008.64"
04/12/2023,"1,894.61","1,930.00","1,860.06","1,908.85"
04/11/2023,"1,890.29","1,938.33","1,885.30","1,895.20"
04/10/2023,"1,856.92","1,904.61","1,848.00","1,885.87"
04/09/2023,"1,855.11","1,866.14","1,829.00","1,857.01"
04/08/2023,"1,853.74","1,879.00","1,849.00","1,855.68"
04/07/2023,"1,862.12","1,883.09","1,844.91","1,853.74"
04/06/2023,"1,905.27","1,913.03","1,856.24","1,865.02"
04/05/2023,"1,879.00","1,935.78","1,860.41","1,905.27"
04/04/2023,"1,775.60","1,889.91","1,770.73","1,879.00"
04/03/2023,"1,788.95","1,839.12","1,763.00","1,780.58"
04/02/2023,"1,817.06","1,826.21","1,775.00","1,789.24"
04/01/2023,"1,816.36","1,841.75","1,811.52","1,817.06"
03/31/2023,"1,795.23","1,846.00","1,782.04","1,817.14"
03/30/2023,"1,802.99","1,827.05","1,765.40","1,795.10"
03/29/2023,"1,774.52","1,823.99","1,764.08","1,803.13"
03/28/2023,"1,707.45","1,791.50","1,702.01","1,774.61"
03/27/2023,"1,761.52","1,782.91","1,690.18","1,707.60"
03/26/2023,"1,732.07","1,798.41","1,731.00","1,761.52"
03/25/2023,"1,749.71","1,762.94","1,717.86","1,732.01"
03/24/2023,"1,818.18","1,821.79","1,730.91","1,750.00"
03/23/2023,"1,736.34","1,858.43","1,718.33","1,817.20"
03/22/2023,"1,797.79","1,821.78","1,713.49","1,736.07"
03/21/2023,"1,760.27","1,837.00","1,725.25","1,798.20"
03/20/2023,"1,800.04","1,816.79","1,744.55","1,760.30"
03/19/2023,"1,795.64","1,844.23","1,755.57","1,799.55"
03/18/2023,"1,744.08","1,840.67","1,744.02","1,796.69"
03/17/2023,"1,659.37","1,766.08","1,659.37","1,743.94"
03/16/2023,"1,652.62","1,694.22","1,639.02","1,658.91"
03/15/2023,"1,705.04","1,721.07","1,617.88","1,652.89"
03/14/2023,"1,671.66","1,781.07","1,666.00","1,708.72"
03/13/2023,"1,558.49","1,699.97","1,544.57","1,672.75"
03/12/2023,"1,475.62","1,564.10","1,461.16","1,562.36"
03/11/2023,"1,426.65","1,485.75","1,415.01","1,475.61"
03/10/2023,"1,433.32","1,446.10","1,374.10","1,426.20"
03/09/2023,"1,552.64","1,553.28","1,411.00","1,432.87"
03/08/2023,"1,550.40","1,569.72","1,544.01","1,552.67"
03/07/2023,"1,566.50","1,582.59","1,536.90","1,550.40"
03/06/2023,"1,571.98","1,580.85","1,556.92","1,566.31"
03/05/2023,"1,556.44","1,587.22","1,553.85","1,571.74"
03/04/2023,"1,560.29","1,577.68","1,550.06","1,556.43"
03/03/2023,"1,641.01","1,655.06","1,548.00","1,558.69"
03/02/2023,"1,657.41","1,676.96","1,620.30","1,641.69"
03/01/2023,"1,600.98","1,667.95","1,597.91","1,656.70"
02/28/2023,"1,627.23","1,647.75","1,598.28","1,605.47"
02/27/2023,"1,642.62","1,664.22","1,611.00","1,627.28"
02/26/2023,"1,574.35","1,649.53","1,572.25","1,642.65"
02/25/2023,"1,602.99","1,610.94","1,559.63","1,574.00"
02/24/2023,"1,645.12","1,664.52","1,576.42","1,602.99"
02/23/2023,"1,619.32","1,678.00","1,618.29","1,646.58"
02/22/2023,"1,641.18","1,662.44","1,598.89","1,619.33"
02/21/2023,"1,700.70","1,716.03","1,637.65","1,641.12"
02/20/2023,"1,686.12","1,719.42","1,652.20","1,700.70"
02/19/2023,"1,688.00","1,722.92","1,671.67","1,686.12"
02/18/2023,"1,692.51","1,711.86","1,672.07","1,688.00"
02/17/2023,"1,683.10","1,719.99","1,630.69","1,695.34"
02/16/2023,"1,666.62","1,745.73","1,664.32","1,682.03"
02/15/2023,"1,556.24","1,674.41","1,544.00","1,665.44"
02/14/2023,"1,486.15","1,565.92","1,485.97","1,555.78"
02/13/2023,"1,509.54","1,525.14","1,464.38","1,486.15"
02/12/2023,"1,534.91","1,548.00","1,510.00","1,511.92"
02/11/2023,"1,506.89","1,537.00","1,505.15","1,535.60"
02/10/2023,"1,539.67","1,554.18","1,495.00","1,507.00"
02/09/2023,"1,652.80","1,655.53","1,525.80","1,541.00"
02/08/2023,"1,667.49","1,692.89","1,631.64","1,652.81"
02/07/2023,"1,638.01","1,677.30","1,606.41","1,667.49"
02/06/2023,"1,622.32","1,657.37","1,610.73","1,638.37"
02/05/2023,"1,678.81","1,688.05","1,612.58","1,622.40"
02/04/2023,"1,657.57","1,694.57","1,646.27","1,678.81"
02/03/2023,"1,632.88","1,674.81","1,629.85","1,657.36"
02/02/2023,"1,635.79","1,711.60","1,635.35","1,640.80"
02/01/2023,"1,576.98","1,646.30","1,559.43","1,635.79"
01/31/2023,"1,557.08","1,602.62","1,549.83","1,576.74"
01/30/2023,"1,643.16","1,653.75","1,538.77","1,557.18"
01/29/2023,"1,567.24","1,659.24","1,562.40","1,643.21"
01/28/2023,"1,598.72","1,606.82","1,560.32","1,567.24"
01/27/2023,"1,602.99","1,621.41","1,556.10","1,598.72"
01/26/2023,"1,624.20","1,639.60","1,580.40","1,602.99"
01/25/2023,"1,597.61","1,622.99","1,523.30","1,617.97"
01/24/2023,"1,631.82","1,640.04","1,591.94","1,599.45"
01/23/2023,"1,628.25","1,648.54","1,597.39","1,632.14"
01/22/2023,"1,662.26","1,662.69","1,605.00","1,628.25"
01/21/2023,"1,636.47","1,677.45","1,617.93","1,660.63"
01/20/2023,"1,545.03","1,646.30","1,543.06","1,637.84"
01/19/2023,"1,528.06","1,563.64","1,509.85","1,545.03"
01/18/2023,"1,581.50","1,606.74","1,503.85","1,528.20"
01/17/2023,"1,579.41","1,601.87","1,548.72","1,581.50"
01/16/2023,"1,552.54","1,598.60","1,522.33","1,579.41"
01/15/2023,"1,538.25","1,563.60","1,516.24","1,552.35"
01/14/2023,"1,455.64","1,592.46","1,442.96","1,538.04"
01/13/2023,"1,427.20","1,459.43","1,401.47","1,456.07"
01/12/2023,"1,343.12","1,434.94","1,341.06","1,427.58"
01/11/2023,"1,339.67","1,345.08","1,321.17","1,342.74"
01/10/2023,"1,318.37","1,344.28","1,315.39","1,339.75"
01/09/2023,"1,269.71","1,343.85","1,269.00","1,317.74"
01/08/2023,"1,264.20","1,275.72","1,258.12","1,269.72"
01/07/2023,"1,266.31","1,271.18","1,261.49","1,264.20"
01/06/2023,"1,251.44","1,275.10","1,237.18","1,266.32"
01/05/2023,"1,252.16","1,259.05","1,242.08","1,251.32"
01/04/2023,"1,210.95","1,270.50","1,209.61","1,252.16"
01/03/2023,"1,219.58","1,219.65","1,205.82","1,210.65"
01/02/2023,"1,202.11","1,221.34","1,192.89","1,221.34"
01/01/2023,"1,199.52","1,203.55","1,190.86","1,202.11"
12/31/2022,"1,197.51","1,206.99","1,192.00","1,199.52"
12/30/2022,"1,195.20","1,203.03","1,183.27","1,197.20"
12/29/2022,"1,186.77","1,205.19","1,184.00","1,195.20"
12/28/2022,"1,210.29","1,213.92","1,184.36","1,186.77"
12/27/2022,"1,216.70","1,232.38","1,201.00","1,210.24"
12/26/2022,"1,218.33","1,223.09","1,212.78","1,216.70"
12/25/2022,"1,218.83","1,222.84","1,198.79","1,218.33"
12/24/2022,"1,221.85","1,225.79","1,214.41","1,218.69"
12/23/2022,"1,215.00","1,228.61","1,212.65","1,221.85"
12/22/2022,"1,211.11","1,232.01","1,184.71","1,215.00"
12/21/2022,"1,216.14","1,220.82","1,204.15","1,211.12"
12/20/2022,"1,176.05","1,227.48","1,152.91","1,216.55"
12/19/2022,"1,182.88","1,194.39","1,166.92","1,176.05"
12/18/2022,"1,178.99","1,196.19","1,172.90","1,182.99"
12/17/2022,"1,194.61","1,196.77","1,156.61","1,179.27"
12/16/2022,"1,264.60","1,279.11","1,185.74","1,194.61"
12/15/2022,"1,310.85","1,311.07","1,261.23","1,264.65"
12/14/2022,"1,320.16","1,348.31","1,300.24","1,310.85"
12/13/2022,"1,275.08","1,345.16","1,256.69","1,320.19"
12/12/2022,"1,263.88","1,278.80","1,241.44","1,275.15"
12/11/2022,"1,268.94","1,282.99","1,262.37","1,264.92"
12/10/2022,"1,259.85","1,282.95","1,259.85","1,268.94"
12/09/2022,"1,278.32","1,291.07","1,257.12","1,259.91"
12/08/2022,"1,231.63","1,290.41","1,222.37","1,278.18"
12/07/2022,"1,256.20","1,275.65","1,220.78","1,231.63"
12/06/2022,"1,259.49","1,269.92","1,242.87","1,256.66"
12/05/2022,"1,277.23","1,304.49","1,248.00","1,259.46"
12/04/2022,"1,260.89","1,282.29","1,238.00","1,277.23"
12/03/2022,"1,291.21","1,303.19","1,255.81","1,260.76"
12/02/2022,"1,276.85","1,296.25","1,266.38","1,290.99"
12/01/2022,"1,296.99","1,305.67","1,263.68","1,276.85"
11/30/2022,"1,219.38","1,299.77","1,212.15","1,296.99"
11/29/2022,"1,172.32","1,225.15","1,158.48","1,219.38"
11/28/2022,"1,215.05","1,216.62","1,150.38","1,172.11"
11/27/2022,"1,209.93","1,222.21","1,197.00","1,216.21"
11/26/2022,"1,199.07","1,229.93","1,195.54","1,209.93"
11/25/2022,"1,195.20","1,204.96","1,171.43","1,199.67"
11/24/2022,"1,168.79","1,215.22","1,167.83","1,195.20"
11/23/2022,"1,129.80","1,187.60","1,125.54","1,168.79"
11/22/2022,"1,093.18","1,139.85","1,076.05","1,130.19"
11/21/2022,"1,140.83","1,152.39","1,080.00","1,092.64"
11/20/2022,"1,210.00","1,230.91","1,136.94","1,139.38"
11/19/2022,"1,208.74","1,212.50","1,197.11","1,210.00"
11/18/2022,"1,205.70","1,228.45","1,196.13","1,208.80"
11/17/2022,"1,206.04","1,226.63","1,183.07","1,205.70"
11/16/2022,"1,244.55","1,266.38","1,186.25","1,206.04"
11/15/2022,"1,226.14","1,290.49","1,212.90","1,244.39"
11/14/2022,"1,215.00","1,287.46","1,173.80","1,226.43"
11/13/2022,"1,255.80","1,271.34","1,202.53","1,216.60"
11/12/2022,"1,265.94","1,291.02","1,237.34","1,255.72"
11/11/2022,"1,320.71","1,325.99","1,203.14","1,265.94"
11/10/2022,"1,105.06","1,346.59","1,074.18","1,320.71"
11/09/2022,"1,331.12","1,343.65","1,102.21","1,105.81"
11/08/2022,"1,575.00","1,577.13","1,230.93","1,335.07"
11/07/2022,"1,604.05","1,608.20","1,547.00","1,575.70"
11/06/2022,"1,631.71","1,639.09","1,603.30","1,604.04"
11/05/2022,"1,646.01","1,663.76","1,624.04","1,631.71"
11/04/2022,"1,541.15","1,674.39","1,525.40","1,647.04"
11/03/2022,"1,511.44","1,559.00","1,502.38","1,541.15"
11/02/2022,"1,575.51","1,619.41","1,503.47","1,513.45"
11/01/2022,"1,566.34","1,609.22","1,552.03","1,575.52"
10/31/2022,"1,595.49","1,634.39","1,551.93","1,566.34"
10/30/2022,"1,627.40","1,639.04","1,577.78","1,595.49"
10/29/2022,"1,560.09","1,661.78","1,548.80","1,627.40"
10/28/2022,"1,527.86","1,571.86","1,486.05","1,561.00"
10/27/2022,"1,554.21","1,583.60","1,510.00","1,527.81"
10/26/2022,"1,473.77","1,591.78","1,451.58","1,554.46"
10/25/2022,"1,351.90","1,523.50","1,335.38","1,473.00"
10/24/2022,"1,330.22","1,369.79","1,324.75","1,351.91"
10/23/2022,"1,316.05","1,335.98","1,301.38","1,330.22"
10/22/2022,"1,302.46","1,319.02","1,295.00","1,316.05"
10/21/2022,"1,281.77","1,306.55","1,255.00","1,302.46"
10/20/2022,"1,293.98","1,310.00","1,271.74","1,281.77"
10/19/2022,"1,314.53","1,314.79","1,288.81","1,293.99"
10/18/2022,"1,330.45","1,340.54","1,287.75","1,314.44"
10/17/2022,"1,311.01","1,337.00","1,292.07","1,330.45"
10/16/2022,"1,280.75","1,314.50","1,263.48","1,311.01"
10/15/2022,"1,302.20","1,302.27","1,278.00","1,280.85"
10/14/2022,"1,293.78","1,342.09","1,282.72","1,302.20"
10/13/2022,"1,298.92","1,302.57","1,194.37","1,294.30"
10/12/2022,"1,282.48","1,305.46","1,274.39","1,298.57"
10/11/2022,"1,307.39","1,309.38","1,268.87","1,282.78"
10/10/2022,"1,320.90","1,337.61","1,296.73","1,307.39"
10/09/2022,"1,325.20","1,328.96","1,305.00","1,320.90"
10/08/2022,"1,332.01","1,337.30","1,319.67","1,325.20"
10/07/2022,"1,364.00","1,364.00","1,318.02","1,332.01"
10/06/2022,"1,345.16","1,383.43","1,345.16","1,363.88"
10/05/2022,"1,361.75","1,367.10","1,316.26","1,346.06"
10/04/2022,"1,324.07","1,367.96","1,315.54","1,362.09"
10/03/2022,"1,303.74","1,329.64","1,264.34","1,323.92"
10/02/2022,"1,309.66","1,317.39","1,287.43","1,303.74"
10/01/2022,"1,331.24","1,333.78","1,303.59","1,309.66"
09/30/2022,"1,338.25","1,372.24","1,315.66","1,331.30"
09/29/2022,"1,351.19","1,354.71","1,289.61","1,338.25"
09/28/2022,"1,324.73","1,353.85","1,259.34","1,351.26"
09/27/2022,"1,325.06","1,399.29","1,305.12","1,324.42"
09/26/2022,"1,292.44","1,340.08","1,269.77","1,325.05"
09/25/2022,"1,342.22","1,342.25","1,283.90","1,293.03"
09/24/2022,"1,301.51","1,348.00","1,299.47","1,342.22"
09/23/2022,"1,324.00","1,356.71","1,263.26","1,301.98"
09/22/2022,"1,313.67","1,335.46","1,222.52","1,324.18"
09/21/2022,"1,343.06","1,410.00","1,307.81","1,313.67"
09/20/2022,"1,357.73","1,391.00","1,330.60","1,342.61"
09/19/2022,"1,370.86","1,371.92","1,282.05","1,357.73"
09/18/2022,"1,462.59","1,473.43","1,367.80","1,370.86"
09/17/2022,"1,436.00","1,474.87","1,409.84","1,462.59"
09/16/2022,"1,504.53","1,504.53","1,409.79","1,436.00"
09/15/2022,"1,603.38","1,653.00","1,461.45","1,504.22"
09/14/2022,"1,607.87","1,622.82","1,554.90","1,603.66"
09/13/2022,"1,724.26","1,757.20","1,573.33","1,607.50"
09/12/2022,"1,759.33","1,780.59","1,695.38","1,724.26"
09/11/2022,"1,734.29","1,788.48","1,734.29","1,759.33"
09/10/2022,"1,721.01","1,744.62","1,706.35","1,734.07"
09/09/2022,"1,644.80","1,742.92","1,627.55","1,720.62"
09/08/2022,"1,638.79","1,661.33","1,597.55","1,644.75"
09/07/2022,"1,580.57","1,653.00","1,492.32","1,641.59"
09/06/2022,"1,598.42","1,685.58","1,558.02","1,579.95"
09/05/2022,"1,571.36","1,609.82","1,558.28","1,598.42"
09/04/2022,"1,552.16","1,582.87","1,540.85","1,571.36"
09/03/2022,"1,571.78","1,585.37","1,536.11","1,552.16"
09/02/2022,"1,581.12","1,648.92","1,547.46","1,568.51"
09/01/2022,"1,572.96","1,584.20","1,515.40","1,580.77"
